id,target
0.01755,30.43590
0.01212,74.89247
0.02020,51.26071
0.01815,72.34928
0.01252,48.36995
0.01444,56.33767
0.02183,95.06737
0.00418,82.05325
0.00298,57.07875
0.01951,64.35148
0.01033,75.69139
0.01453,88.72394
0.00567,52.61087
0.00051,112.87203
0.01986,63.90807
0.02298,79.58370
0.01117,41.23426
0.00750,82.70907
0.01506,65.62482
0.01784,62.02636
0.00611,35.71838
0.00817,61.71608
0.01042,68.86273
0.00112,36.41747
0.00657,58.73101
0.02271,54.63933
0.02030,55.14395
0.00195,79.98102
0.00014,40.09042
0.01828,33.46991
0.00714,45.63108
0.00790,24.44612
0.02006,44.52622
0.02114,66.52171
0.00415,69.99274
0.00577,80.32979
0.01139,41.90352
0.00002,63.84370
0.00568,69.04332
0.02031,67.86370
0.01272,119.23135
0.00054,113.57875
0.00464,58.49541
0.00371,58.49275
0.01830,44.30959
0.00918,62.38945
0.00875,161.18008
0.01538,177.50697
0.00108,64.91132
0.01138,46.23052
0.00322,42.24475
0.02041,57.60268
0.01373,51.51748
0.01843,170.68113
0.01871,46.06954
0.01223,82.08670
0.00545,20.78443
0.01013,30.79220
0.01740,53.39748
0.01199,38.26512
0.00555,145.58800
0.00622,22.42631
0.02192,142.21688
0.01302,156.92256
0.00626,146.41373
0.01278,216.48127
0.00088,222.41338
0.02128,87.87614
0.00527,72.80727
0.01821,116.76772
0.00052,75.77802
0.01709,88.26808
0.00733,85.88946
0.01837,53.15242
0.02222,58.13328
0.00239,37.54142
0.01422,64.35974
0.01779,61.77433
0.00729,57.02495
0.00677,84.71686
0.01970,83.68846
0.02101,48.08327
0.00752,36.69568
0.01354,61.04484
0.00450,62.86242
0.01215,38.73544
0.01458,54.13902
0.00322,35.24905
0.01938,31.98278
0.00561,64.34984
0.02302,37.27658
0.00583,55.19276
0.01295,61.83092
0.01022,26.61411
0.00843,49.91358
0.01642,47.55963
0.01323,60.74874
0.00441,38.83120
0.01605,52.56873
0.00595,35.53893
0.00957,48.43626
0.00842,61.69618
0.01871,57.07259
0.00503,55.24869
0.00948,38.24762
0.02033,12.43878
0.02012,51.19910
0.01748,51.79144
0.00848,58.52663
0.01135,46.92669
0.01878,57.30152
0.00596,54.53053
0.00943,58.77056
0.01146,131.97241
0.00531,122.71288
0.01378,11.76975
0.01472,81.22393
0.02070,86.51745
0.00186,31.14639
0.01497,48.34016
0.01360,70.42013
0.01311,77.36854
0.01727,75.15996
0.02317,52.30718
0.01531,64.59959
0.01456,58.26613
0.00928,57.24678
0.00166,26.89308
0.00634,63.52033
0.00972,47.29662
0.00156,57.85244
