CPU-Score	CPU-Cache L1	CPU-Socket	CPU-Cache L3	CPU-Cache L2	CPU-Samples	CPU-Process	CPU-Brand	CPU-Cores	CPU-Type	CPU-URL	CPU-Clock	CPU-Part Number	CPU-Codename	CPU-Multi	CPU-Price	CPU-TDP	CPU-Released	CPU-Name	GPU-L2 Cache	GPU-Shader Processing Units	GPU-Process	GPU-Samples	GPU-Website	GPU-Brand	GPU-Direct X	GPU-Release Price	GPU-TMUs	GPU-PSU	GPU-ROPs	GPU-Max Power	GPU-Texture Rate	GPU-Memory	GPU-GD RATING	GPU-BenchmarkURL	GPU-Core Speed	GPU-Name	GPU-Pixel Rate	GPU-Memory Bandwidth	GPU-Shader	GPU-Name2	GPU-Power Connector	GPU-Type	GPU-Architecture	GPU-Benchmark	GPU-Memory Speed	GPU-Open GL	GPU-Memory Bus	GPU-Memory Type	GAME-Rec-DX	GAME-Website	GAME-Theme	GAME-Min-DX	GAME-Rec-Ram	GAME-Min-CPU0	GAME-Release Date2	GAME-Min-CPU1	GAME-Release Date0	GAME-Release Date1	GAME-Min-GPU1	GAME-Min-GPU0	GAME-Name	GAME-Genre2	GAME-Rec-CPU1	GAME-Min-OS	GAME-Rec-CPU0	GAME-Rec-GPU1	GAME-Min-Ram	GAME-Rec-GPU0	GAME-Type	GAME-Rec-OS	GAME-Min-VRam	GAME-Rec-VRam	GAME-Genre1	GAME-Genre0	Res-Height	Res-Width	FPS_Id	Game-Setting	FPS	Ram	
44.9	64	Intel Socket 1155	3072	256	11537	32	Intel	2	CPU-Config	http://cpu.userbenchmark.com/SpeedTest/2227/IntelR-CoreTM-i3-2120-CPU---330GHz	2600		Sandy Bridge	26	999	35	Sep 2011	Core i3-2120	128	160	40	1942	http://www.game-debate.com/hardware/index.php?gid=2736&graphics=Radeon%20HD%207450	AMD	11		8	300 Watt  22 Amps	4	18	5	512	2	http://gpu.userbenchmark.com/SpeedTest/8053/AMD-RadeonTM-HD-7450	625	Radeon HD 7450	3	8.5	5	Radeon HD 7450	None 	GPU-Config	Terascale 2 Caicos PRO 	2	533	4.3	64	GDDR3	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	720	1024	23270-24	Low	60	12	
72.9	64	Intel Socket 1155	6144	256	39564	32	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619	3300	BX80623I52500K	Sandy Bridge	33	1660	95	Jan 2011	Core i5-2500K	1024	5632	28	1177	http://www.game-debate.com/hardware/index.php?gid=2101&graphics=Radeon%20R9%20295X2	AMD	12	1499	176	850 Watt  56 Amps	64	500	358	8192	0	http://gpu.userbenchmark.com/SpeedTest/11791/AMD-Radeon-R9-200	1018	Radeon R9 295X2	130	640	5	R9 295X2 (CrossFire Disabled)	2x 8-pin 	GPU-Config	GCN 1.1 Versuvius XT 	66.2	1250	4.4	512	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-26	Ultra	60	16	
73.9	64	Intel Socket 1155	8192	256	32915	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-3770K/Rating/1317	3500	BX80637I73770K	Ivy Bridge	35	2898	77	Apr 2012	Core i7-3770K	2048	2048	28	67467	http://www.game-debate.com/hardware/index.php?gid=2463&graphics=GeForce%20GTX%20980%20MSI%20Gaming%204GB%20Edition	MSI	12.1	579.99	128	500 Watt  42 Amps	64	165	169	4096	0	http://gpu.userbenchmark.com/Nvidia-GTX-980-Ti/Rating/3439	1216	GeForce GTX 980 MSI Gaming 4GB Edition	84	224.4	5	MSI GTX 980 Ti 6GB Gaming	2x 8-pin 	GPU-Config	Maxwell GM204-400-A1 	98.8	1753	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-27	High	60	16	
89.2	64	Intel Socket 1151	6144	256	89081	14	Intel	6	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503	3500	BX80662I56600K	Skylake	35	1745	95	Jul 2015	Core i5-6600K	2048	1920	16	5594	http://www.game-debate.com/hardware/index.php?gid=3585&graphics=GeForce%20GTX%201070%20Asus%20ROG%20Strix%20Gaming%20OC%208GB%20Edition	Asus	12.1		120	500 Watt  33 Amps	64	150	223	8192	0	http://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943	1657	GeForce GTX 1070 Asus ROG Strix Gaming OC 8GB Edition	119	256.3	5	Asus GTX 1070 Ti 8GB ROG Strix Gaming	1x 8-pin 	GPU-Config	Pascal P104-200-A1 	115	2002	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-28	Ultra	60	24	
77.2	64	Intel Socket 1150	6144	256	14400	22	Intel	6	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-4690/Rating/2311	3500	BX80646I54690	Haswell	35	1715	88	Jun 2014	Core i5-4690	2048	1920	16	199237	http://www.game-debate.com/hardware/index.php?gid=3591&graphics=GeForce%20GTX%201070%20MSI%20Armor%20OC%208GB%20Edition	Nvidia	12.1		120	500 Watt  33 Amps	64	150	210	8192	0	http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609	1556	GeForce GTX 1070 MSI Armor OC 8GB Edition	112	256.3	5	MSI GTX 1070 Founders Edition	1x 8-pin 	GPU-Config	Pascal P104-200-A1 	98.4	2002	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-29	Ultra	75	16	
64.8	64	Intel Socket 1150	6144	256	14263	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-4440/Rating/1993	3100	BX80646I54440	Haswell	31	1200	84	Sep 2013	Core i5-4440	2048	1280	16	175090	http://www.game-debate.com/hardware/index.php?gid=3611&graphics=GeForce%20GTX%201060%20Zotac%20Mini%206GB	PNY	12.1	318	80	400 Watt  27 Amps	48	120	137	6144	0	http://gpu.userbenchmark.com/Nvidia-GTX-1060-6GB/Rating/3639	1506	GeForce GTX 1060 Zotac Mini 6GB	82	192.2	5	PNY GTX 1060 6GB	1x 6-pin 	GPU-Config	Pascal P106-400-A1 	72	2002	4.5	192	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-30	Ultra	60	8	
56.5	384	AMD Socket AM3+	8192	8192	78150	32	AMD	4	CPU-Config	http://cpu.userbenchmark.com/AMD-FX-8350/Rating/1489	4000	FD8350FRHKBOX	Vishera	20	1098	125	Oct 2012	FX-8350	1024	768	16	81473	http://www.game-debate.com/hardware/index.php?gid=3796&graphics=GeForce%20GTX%201050%20Ti%20Palit%20StormX%204GB	MSI	12.1		48	300 Watt  27 Amps	32	75	67	4096	9	http://gpu.userbenchmark.com/Nvidia-GTX-1050-Ti/Rating/3649	1290	GeForce GTX 1050 Ti Palit StormX 4GB	45	112.1	5	MSI GTX 1050 Ti 4GB OC	None 	GPU-Config	Pascal P107 	39.1	1752	4.5	128	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-31	Ultra	50	8	
78	64	Intel Socket 1150	8192	256	36903	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293	3500	BX80646I74790	Haswell	35	2799	84	May 2014	Core i7-4790	2048	1920	16	199237	http://www.game-debate.com/hardware/index.php?gid=3586&graphics=GeForce%20GTX%201070%20MSI%20Gaming%20X%208GB%20Edition	Nvidia	12.1	450	120	500 Watt  33 Amps	64	150	216	8192	0	http://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609	1607	GeForce GTX 1070 MSI Gaming X 8GB Edition	115	259.5	5	PNY GTX 1070 8GB Founders Edition	1x 6-pin + 1x 8-pin 	GPU-Config	Pascal P104-200-A1 	98.4	2027	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-4	Ultra	60	16	
48.2	64	Intel Socket 1366	8192	256	18293	45	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-920/Rating/1981	2666	BX80601920	Bloomfield	20	2220	130	Nov 2008	Core i7-920	2048	2304	14	70036	http://www.game-debate.com/hardware/index.php?gid=3754&graphics=Radeon%20RX%20480%20XFX%20Black%20Edition%208GB	XFX	12	255	144	500 Watt  33 Amps	32	150	191	8192	0	http://gpu.userbenchmark.com/AMD-RX-480/Rating/3634	1120	Radeon RX 480 XFX Black Edition 8GB	42	256	5	XFX RX 480 8GB Black 1338 MHz	1x 6-pin 	GPU-Config	GCN 1.3 Ellesmere XT 	64.5	2000	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	1080	1920	23270-6	High	85	6	
21	64	Intel Socket 775	0	2048	2861	45	Intel	2	CPU-Config	http://cpu.userbenchmark.com/SpeedTest/4475/PentiumR-Dual-Core--CPU------E5400----270GHz	2700		Wolfdale	13.5	499	65	Jan 2009	Pentium E5400	0	16	40	1243	http://www.game-debate.com/hardware/index.php?gid=326&graphics=GeForce%20210%201GB	AMD	10.1		8	300 Watt  22 Amps	4	31	5	1024	2	http://gpu.userbenchmark.com/SpeedTest/7831/AMD-Radeon-HD-8210	589	GeForce 210 1GB	2	8	4	HD 8210	None 	GPU-Config	Tesla GT218-300-B1 	1.48	500	3.3	64	DDR2	11	http://www.game-debate.com/games/index.php?g_id=23270&game=For%20Honor	Fantasy	11	8	Core i3-550 3.2GHz	Feb-14-2017	Phenom II X4 955	Feb-14-2017	Feb-14-2017	Radeon R9 270 v2	GeForce GTX 660	For Honor	Adventure	FX-8350	Win 7 64	Core i5-2500K 3.3GHz	Radeon R9 280X	4	GeForce GTX 680	Game-Info	Win 7 64	2	2	Action	Strategy	768	1366	23270-7	High	120	1	
