id,target
1157882686.87472,30.27691
519821689.83007,78.10617
956430170.66938,53.65925
1362873754.28832,56.51324
-1126475796.36963,53.37216
662015527.91524,44.14401
320228308.70818,85.33304
1467679504.42450,68.34547
621237123.80319,66.78839
-124537478.37572,80.38581
1759664307.18705,58.69861
1184119177.95275,66.33433
-1375271829.08286,55.76140
1761960350.03495,62.77978
-1537476109.11163,56.05132
-1095885337.50941,84.85403
1027273467.66222,47.86754
540909068.23376,67.58439
423833446.82989,78.45376
-1850409314.37670,57.61798
-1848664520.17922,57.17785
-1657315005.00719,59.52396
2007991745.89247,77.60282
1365791180.83030,42.94700
11648924.17366,39.53902
-1697979841.96604,57.09476
188565831.95543,55.16287
-584970945.57781,73.28919
-783333402.84263,37.45197
-1297203933.39163,49.73416
834098955.16768,45.01130
-590734089.95723,32.02610
206698362.69542,37.19519
1338452880.43866,85.71333
-2089524466.97393,59.16618
-1717053633.56247,80.64467
-930521676.66926,45.56601
1197548223.40307,75.18198
191746146.91733,90.01403
453181707.15093,71.63179
-1342038779.38536,85.94394
1063969250.34210,72.78027
1424020446.89588,75.02926
400060442.28973,53.22431
1904837100.84618,40.99425
94204211.86982,56.46631
-382730677.39941,138.58106
-1979896331.84316,66.14724
75927042.73222,58.62254
211428414.76595,46.31382
-235249543.11036,49.23674
-1044499537.35281,47.30834
-1257478676.28761,52.20157
-1080368801.69448,65.99112
-821326595.14164,50.02297
1101556003.20379,65.95143
-2142513953.42985,27.55648
1146324753.67536,43.55676
-1553399105.76333,79.87848
-1778334935.61333,56.00134
1121111277.48502,94.85315
1079094130.10321,64.12272
957862799.41083,94.26906
-1322715659.83145,117.44637
-460107066.32292,86.12685
1220075862.70306,181.90841
1546729269.56407,95.38916
-1123849214.58476,73.55043
-2069914645.77957,94.49397
-1050977347.99541,94.21356
373374632.75167,72.71664
-830087439.55965,67.51728
-1742295610.81810,66.26546
1695083526.33616,56.10082
-1394740911.77401,52.22125
-382011630.69270,46.95587
-914585299.17065,52.72791
-733091904.75603,73.69835
1233283954.81623,76.44943
1544308028.64730,74.50269
-22040017.64247,60.51479
-1985330161.27565,58.60542
-1567766451.80765,53.28851
594196028.42863,57.39875
808654168.88081,54.67374
-1953969681.50866,36.92289
1684564741.11457,59.01460
-1389276775.93032,56.85644
907706379.87087,41.83937
2035930242.57267,52.83739
1808391086.83464,42.41714
2099569080.34935,48.95130
-1610598801.92452,58.77765
1877224250.09338,34.08242
1019061763.32065,46.00990
1556955249.32184,44.72149
-44735079.20331,53.63860
-1320521612.24869,37.82789
888138477.33453,46.63405
1842061795.69159,55.86436
231140973.58369,47.88000
590172710.41419,64.87358
-286538233.62370,56.40586
-1568068507.87993,61.72239
825606835.63430,48.12685
744547237.66510,32.90667
1743775038.21920,60.23545
1299089812.14362,50.60093
76756828.09712,54.91893
472138616.32340,49.61953
630615812.85697,46.01793
-1854913531.30701,55.15517
-1280855607.83485,49.09857
-1278738719.94828,81.32253
1241859364.44665,49.89986
-655621415.75644,38.49094
-167612208.10445,87.33145
-1684502832.39942,53.30240
372993642.30369,44.22878
-1542950517.89112,44.98621
-1973778520.79331,50.81303
-326691175.32539,62.86490
2134450836.84298,67.87650
-173277836.39209,52.00991
-1821389300.75784,78.94426
1072270850.30538,68.28025
-996618930.47193,66.28235
-1153612729.76194,28.54121
367509083.13112,65.25521
-653062810.60732,47.46129
-573952042.60934,61.24883
-1221052033.19811,53.16314
-1984830448.78762,51.82833
-365925807.09674,51.03698
-381009883.78157,41.44955
-538128836.40575,37.44543
1610481583.39838,41.93755
669084139.75057,49.97108
1233562313.78486,43.42679
1007272862.94716,50.10383
1400309833.12870,73.10994
-1439348342.96640,50.39907
-238047635.12508,50.50644
-1551872421.47604,53.32606
-1283152249.23165,64.22504
1765028837.09317,53.94045
-156586766.70156,45.76650
-2028228348.01730,47.32242
211185802.88257,43.03982
2062178020.31623,43.93972
2100245729.76076,42.79148
1481784126.78355,52.17671
1130350726.47182,32.71261
-114719164.48040,50.51384
1406338347.77009,50.42210
-1098249248.11834,36.66765
-430867375.82734,47.76637
878233148.35043,53.14876
-1930358328.18188,51.90072
695681425.04272,50.39470
-1644350327.00889,64.37894
1441406691.76351,64.74576
1130771465.45354,51.28317
