Type	Part Number	Brand	Model	Rank	Score	Samples	URL	Name	Codename	Cores	Socket	Process	Clock	Multi	Cache L1/L2/L3	TDP	Released	Price	
CPU		Intel	Core2 Duo T7300	851	13.5	910	http://cpu.userbenchmark.com/SpeedTest/2508/IntelR-CoreTM2-Duo-CPU-----T7300----200GHz												
CPU		AMD	Athlon 64 X2 Dual Core TK-55	852	13.4	129	http://cpu.userbenchmark.com/SpeedTest/1927/AMD-Athlontm-64-X2-Dual-Core-Processor-TK-55												
CPU		AMD	A4-4355M APU	853	13.3	103	http://cpu.userbenchmark.com/SpeedTest/10814/AMD-A4-4355M-APU-with-Radeontm-HD-Graphics												
CPU		Intel	Core2 Duo U9600	854	13.3	137	http://cpu.userbenchmark.com/SpeedTest/4270/IntelR-CoreTM2-Duo-CPU-----U9600----160GHz												
CPU		Intel	Core2 Duo L9300	855	13.3	57	http://cpu.userbenchmark.com/SpeedTest/5639/IntelR-CoreTM2-Duo-CPU-----L9300----160GHz												
CPU		AMD	Turion 64 X2 Mobile Technology TL-56	856	13.2	123	http://cpu.userbenchmark.com/SpeedTest/2456/AMD-Turiontm-64-X2-Mobile-Technology-TL-56												
CPU		Intel	Core2 Duo T7250	857	13.2	956	http://cpu.userbenchmark.com/SpeedTest/1781/IntelR-CoreTM2-Duo-CPU-----T7250----200GHz												
CPU		Intel	Pentium Dual E2180	858	13.2	1769	http://cpu.userbenchmark.com/SpeedTest/814/IntelR-PentiumR-Dual--CPU--E2180----200GHz	Pentium Dual-Core E2180	Allendale	2 	Intel Socket 775	65 nm	2000&nbsp;MHz	10.0x	64K / 1024K / 0K	65W	Aug 2007		
CPU		Intel	Core2 T7200	859	13.2	782	http://cpu.userbenchmark.com/SpeedTest/248/IntelR-CoreTM2-CPU---------T7200----200GHz												
CPU		Intel	Pentium Dual T3200	860	13.2	634	http://cpu.userbenchmark.com/SpeedTest/2235/IntelR-PentiumR-Dual--CPU--T3200----200GHz												
CPU		Intel	Core2 Duo T5750	861	13.1	532	http://cpu.userbenchmark.com/SpeedTest/6581/IntelR-CoreTM2-Duo-CPU-----T5750----200GHz												
CPU		Intel	Core2 Duo T5800	862	13.1	889	http://cpu.userbenchmark.com/SpeedTest/2272/IntelR-CoreTM2-Duo-CPU-----T5800----200GHz												
CPU		Intel	Core2 6320	863	13	421	http://cpu.userbenchmark.com/SpeedTest/4501/IntelR-CoreTM2-CPU----------6320----186GHz												
