id,target
0.01755,32.03029
0.01212,78.75258
0.02020,55.07559
0.01815,74.66392
0.01252,47.42030
0.01444,55.89780
0.02183,105.67782
0.00418,86.75008
0.00298,56.23352
0.01951,66.35996
0.01033,79.45458
0.01453,89.39489
0.00567,55.24210
0.00051,117.31017
0.01986,63.97373
0.02298,82.13306
0.01117,41.21964
0.00750,89.16374
0.01506,67.80197
0.01784,60.96161
0.00611,36.81457
0.00817,64.44292
0.01042,66.51564
0.00112,36.56457
0.00657,58.39543
0.02271,57.87300
0.02030,56.91117
0.00195,81.77174
0.00014,39.89982
0.01828,29.86356
0.00714,44.98800
0.00790,24.79104
0.02006,44.30937
0.02114,68.01772
0.00415,71.36637
0.00577,80.76401
0.01139,42.71276
0.00002,63.39869
0.00568,71.84257
0.02031,67.66063
0.01272,127.22776
0.00054,107.31915
0.00464,57.94976
0.00371,58.29897
0.01830,43.63335
0.00918,60.55830
0.00875,169.07981
0.01538,181.84658
0.00108,64.44484
0.01138,47.27542
0.00322,42.93936
0.02041,58.20596
0.01373,52.92923
0.01843,172.39493
0.01871,44.88191
0.01223,80.71680
0.00545,20.75623
0.01013,30.62703
0.01740,53.24663
0.01199,39.22831
0.00555,142.84354
0.00622,20.12057
0.02192,140.67312
0.01302,153.84359
0.00626,145.89514
0.01278,225.32847
0.00088,217.35253
0.02128,84.27511
0.00527,68.70886
0.01821,116.28300
0.00052,82.26975
0.01709,89.07110
0.00733,86.46920
0.01837,52.26268
0.02222,57.30720
0.00239,38.99607
0.01422,66.44217
0.01779,60.16017
0.00729,56.32955
0.00677,80.33826
0.01970,79.51199
0.02101,48.52438
0.00752,36.47182
0.01354,60.62420
0.00450,62.61577
0.01215,37.32094
0.01458,50.18920
0.00322,34.58803
0.01938,32.19014
0.00561,61.78589
0.02302,37.76818
0.00583,54.88172
0.01295,60.38281
0.01022,26.46436
0.00843,48.68302
0.01642,51.01125
0.01323,59.31128
0.00441,40.48069
0.01605,48.62089
0.00595,36.17780
0.00957,48.98823
0.00842,61.89917
0.01871,57.91010
0.00503,54.62112
0.00948,41.19578
0.02033,13.68629
0.02012,50.77107
0.01748,52.22410
0.00848,60.37583
0.01135,47.91508
0.01878,56.20627
0.00596,56.29060
0.00943,61.66644
0.01146,129.46692
0.00531,114.49872
0.01378,11.80579
0.01472,92.60042
0.02070,84.01436
0.00186,33.40885
0.01497,48.47980
0.01360,67.23830
0.01311,76.86561
0.01727,78.42222
0.02317,55.08369
0.01531,65.02968
0.01456,62.70209
0.00928,58.82091
0.00166,24.22770
0.00634,66.79630
0.00972,45.05150
0.00156,57.19232
0.00635,48.44753
0.01636,108.71452
0.01537,48.47158
0.02131,52.01225
0.01455,15.15477
0.00446,39.64335
0.00365,47.32448
0.01390,70.60086
0.00290,42.21152
0.02030,54.59595
0.01781,49.16384
0.01827,45.04640
0.01156,38.37863
0.01380,58.97349
0.02054,50.37433
0.00462,47.51261
0.02016,65.75796
0.01100,40.21100
0.01272,20.11040
0.01088,55.60168
0.01893,60.75859
0.00859,16.14378
0.00251,63.84277
0.01485,59.65302
0.01996,35.21645
0.00919,65.92068
0.01296,52.95186
0.00619,72.28910
0.00230,64.59742
0.00966,71.02891
0.02295,99.53692
0.01439,58.18733
0.01106,70.21352
0.00255,49.17363
0.01773,51.82997
0.01765,65.59075
0.00770,65.76685
0.02092,28.48237
0.01871,58.84548
0.00825,29.64795
0.02280,37.39028
0.01735,56.83235
0.00065,46.67018
0.00386,46.47927
0.01830,97.84950
0.01676,49.54676
0.00648,50.87224
0.01100,90.60787
0.02300,57.24345
0.00979,69.21496
0.00102,47.49665
0.01991,36.27943
0.01948,64.67933
0.00270,109.11770
0.00405,39.84055
0.01101,50.11865
0.00783,76.75879
0.00169,36.06142
0.01932,144.89603
0.01407,69.12548
0.00945,74.50354
0.01260,21.20996
0.00975,58.46950
0.01569,59.62343
0.00138,28.07380
0.00488,74.66055
0.00052,52.70237
0.01771,47.56348
0.00924,34.59360
0.02056,65.32928
0.00548,30.49183
0.01819,56.48784
0.02005,20.28804
0.00153,55.53686
0.00485,39.46610
0.00185,65.43486
0.00502,60.21995
0.00295,171.96177
0.00115,21.52631
0.01308,53.38957
0.02258,58.47535
0.00072,59.19617
0.00226,48.66605
0.02077,61.17278
0.01739,72.77740
0.00403,68.49859
0.01308,58.16324
0.02281,55.64508
0.00369,59.16180
0.00191,34.54325
0.01518,63.63985
0.00767,77.69428
0.00262,56.23836
0.00733,113.21339
0.00660,60.30176
0.00608,48.93378
0.00496,66.80603
0.01272,52.66630
0.01610,67.77398
0.00593,32.47724
0.01252,60.58832
0.01740,34.85384
0.01499,74.52960
0.01398,57.48074
0.00326,64.72590
0.00446,82.51267
0.01591,67.23534
0.01831,41.69307
0.01945,74.35033
0.01032,44.71466
0.00524,64.02560
0.01996,55.57229
0.00171,48.43814
0.00448,33.70434
0.02281,52.65477
0.01813,59.83566
0.00416,64.43382
0.02282,58.87695
0.00332,71.43263
0.00483,18.56893
0.00538,67.98921
0.01962,45.13839
0.00936,61.21056
0.01131,51.15235
0.01027,47.57898
0.00733,57.39027
0.00600,50.33692
0.02075,37.71783
0.01922,52.89452
0.00580,68.90413
0.02112,29.60816
0.00878,65.02937
0.00487,52.45908
