CPU-Score	CPU-Cache L1	CPU-Socket	CPU-Cache L3	CPU-Cache L2	CPU-Samples	CPU-Process	CPU-Brand	CPU-Cores	CPU-Type	CPU-URL	CPU-Clock	CPU-Part Number	CPU-Codename	CPU-Multi	CPU-Price	CPU-TDP	CPU-Released	CPU-Name	GPU-L2 Cache	GPU-Shader Processing Units	GPU-Process	GPU-Samples	GPU-Website	GPU-Brand	GPU-Direct X	GPU-Release Price	GPU-TMUs	GPU-PSU	GPU-ROPs	GPU-Max Power	GPU-Texture Rate	GPU-Memory	GPU-GD RATING	GPU-BenchmarkURL	GPU-Core Speed	GPU-Name	GPU-Pixel Rate	GPU-Memory Bandwidth	GPU-Shader	GPU-Name2	GPU-Power Connector	GPU-Type	GPU-Architecture	GPU-Benchmark	GPU-Memory Speed	GPU-Open GL	GPU-Memory Bus	GPU-Memory Type	GAME-Rec-DX	GAME-Website	GAME-Theme	GAME-Min-DX	GAME-Rec-Ram	GAME-Min-CPU0	GAME-Release Date2	GAME-Min-CPU1	GAME-Release Date0	GAME-Release Date1	GAME-Min-GPU1	GAME-Min-GPU0	GAME-Name	GAME-Min-VRam	GAME-Rec-CPU1	GAME-Min-OS	GAME-Rec-CPU0	GAME-Rec-GPU1	GAME-Min-Ram	GAME-Rec-GPU0	GAME-Type	GAME-Rec-OS	GAME-Rec-VRam	GAME-Genre1	GAME-Genre0	Res-Height	Res-Width	FPS_Id	Game-Setting	FPS	Ram	
78	64	Intel Socket 1150	8192	256	36903	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293	3500	BX80646I74790	Haswell	35	2799	84	May 2014	Core i7-4790	512	1152	28	49672	http://www.game-debate.com/hardware/index.php?gid=882&graphics=GeForce%20GTX%20760	Nvidia	12	249	96	500 Watt  37 Amps	32	170	99	2048	8	http://gpu.userbenchmark.com/Nvidia-GTX-760/Rating/2159	980	GeForce GTX 760	33	192.3	5	GTX 760	2x 6-pin 	GPU-Config	Kepler GK104-225-A2 	37.1	1502	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	900	1600	7982-75	Medium	60	8	
64.8	64	Intel Socket 1150	6144	256	14263	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-4440/Rating/1993	3100	BX80646I54440	Haswell	31	1200	84	Sep 2013	Core i5-4440	2048	640	28	79629	http://www.game-debate.com/hardware/index.php?gid=2506&graphics=GeForce%20GTX%20750%20Ti%20MSI%20OC%20v1%202GB%20Edition	MSI	12		40	400 Watt  20 Amps	16	60	45	2048	6	http://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187	1059	GeForce GTX 750 Ti MSI OC v1 2GB Edition	18	86.4	5	MSI GTX 750 Ti 2GB Gaming	None 	GPU-Config	Maxwell GM107-400-A2 	22.4	1350	4.5	128	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	768	1366	7982-77	Medium	40	8	
61	64	Intel Socket G2 (988B)	3072	256	1250	22	Intel	2	CPU-Config	http://cpu.userbenchmark.com/SpeedTest/2710/IntelR-CoreTM-i5-3340-CPU---310GHz	2700		Ivy Bridge	27	1429	35	Jan 2013	Core i5-3340	1024	1024	28	103842	http://www.game-debate.com/hardware/index.php?gid=2830&graphics=GeForce%20GTX%20960%20Zotac%202GB%20Edition	MSI	12.1		64	400 Watt  29 Amps	32	120	79	2048	8	http://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165	1177	GeForce GTX 960 Zotac 2GB Edition	40	112.2	5	MSI GTX 960 2GB Gaming	1x 6-pin 	GPU-Config	Maxwell GM206-300-A1 	39.7	1753	4.5	128	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	1050	1680	7982-78	Ultra	60	6	
89.2	64	Intel Socket 1151	6144	256	89081	14	Intel	6	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503	3500	BX80662I56600K	Skylake	35	1745	95	Jul 2015	Core i5-6600K	2048	2560	16	69892	http://www.game-debate.com/hardware/index.php?gid=3573&graphics=GeForce%20GTX%201080%20Asus%20ROG%20Strix%20Gaming%20OC%208GB%20Edition	Asus	12.1	829	160	500 Watt  33 Amps	64	300	310	8192	0	http://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918	1784	GeForce GTX 1080 Asus ROG Strix Gaming OC 8GB Edition	124	320.3	5	Asus GTX 1080 Ti 11GB ROG Strix OC	1x 6-pin + 1x 8-pin 	GPU-Config	Pascal P104-400-A1 	156	1251	4.5	256	GDDR5X	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	1200	1920	7982-8	Ultra	120	16	
47.7	288	AMD Socket AM3+	8192	6144	57468	32	AMD	2	CPU-Config	http://cpu.userbenchmark.com/AMD-FX-6300/Rating/1555	3500	FD6300WMHKBOX	Vishera	17.5	720	95	Oct 2012	FX-6300	512	384	28	2908	http://www.game-debate.com/hardware/index.php?gid=2423&graphics=Radeon%20R7%20250%20MSI%20OC%201GB%20Edition	AMD	12		24	400 Watt  18 Amps	8	59	26	1024	5	http://gpu.userbenchmark.com/SpeedTest/8884/AMD-Radeon-R7-200	1000	Radeon R7 250 MSI OC 1GB Edition	9	73.6	5	R7 250E	None 	GPU-Config	GCN 1.1 Oland XT 	11.8	1150	4.4	128	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	768	1366	7982-81	Medium	40	8	
78	64	Intel Socket 1150	8192	256	36903	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293	3500	BX80646I74790	Haswell	35	2799	84	May 2014	Core i7-4790	1792	1664	28	215474	http://www.game-debate.com/hardware/index.php?gid=2450&graphics=GeForce%20GTX%20970%20Palit%20JetStream%204GB%20Edition	MSI	12.1		104	500 Watt  30 Amps	56	150	136	4096	0	http://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577	1152	GeForce GTX 970 Palit JetStream 4GB Edition	73	224.4	5	MSI GTX 970 4GB Gaming	2x 6-pin 	GPU-Config	Maxwell GM204-200-A1 	64.6	1753	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	1080	1920	7982-82	Ultra	73	16	
88	64	Intel Socket 1150	8192	256	105652	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384	4000	BX80646I74790K	Haswell	40	2799	88	May 2014	Core i7-4790K	1024	1024	28	103842	http://www.game-debate.com/hardware/index.php?gid=2948&graphics=GeForce%20GTX%20960%20Asus%20Strix%20DirectCU%20II%20OC%204GB%20Edition	MSI	12.1		64	400 Watt  29 Amps	32	150	84	4096	8	http://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165	1253	GeForce GTX 960 Asus Strix DirectCU II OC 4GB Edition	42	112.2	5	MSI GTX 960 4GB Gaming	1x 6-pin 	GPU-Config	Maxwell GM206-300-A1 	39.7	1753	4.5	128	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	1080	1920	7982-83	Ultra	60	16	
88	64	Intel Socket 1150	8192	256	105652	22	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384	4000	BX80646I74790K	Haswell	40	2799	88	May 2014	Core i7-4790K	2048	3072	28	215474	http://www.game-debate.com/hardware/index.php?gid=2797&graphics=GeForce%20GTX%20970%20EVGA%20SSC%20ACX%202.0%204GB%20Edition%20SLI	EVGA	12.1		104	650 Watt  42 Amps	56	300	279	8192	0	http://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577	1190	GeForce GTX 970 EVGA SSC ACX 2.0 4GB Edition SLI	150	448.8	5	EVGA GTX 970 4GB SSC ACX 2.0+	None 	GPU-Config	Maxwell GM204-200-A1 (x2) 	64.6	1753	4.5	256	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	2160	3840	7982-88	Ultra	60	16	
72.9	64	Intel Socket 1155	6144	256	39564	32	Intel	4	CPU-Config	http://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619	3300	BX80623I52500K	Sandy Bridge	33	1660	95	Jan 2011	Core i5-2500K	1024	1024	28	103842	http://www.game-debate.com/hardware/index.php?gid=2832&graphics=GeForce%20GTX%20960%20Zotac%20AMP!%202GB%20Edition	MSI	12.1		64	400 Watt  29 Amps	32	120	85	2048	8	http://gpu.userbenchmark.com/Nvidia-GTX-960/Rating/3165	1266	GeForce GTX 960 Zotac AMP! 2GB Edition	43	112.2	5	MSI GTX 960 2GB Gaming	1x 6-pin 	GPU-Config	Maxwell GM206-300-A1 	39.7	1753	4.5	128	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	900	1600	7982-9	Ultra	60	8	
56.5	384	AMD Socket AM3+	8192	8192	78150	32	AMD	4	CPU-Config	http://cpu.userbenchmark.com/AMD-FX-8350/Rating/1489	4000	FD8350FRHKBOX	Vishera	20	1098	125	Oct 2012	FX-8350	768	2048	28	3243	http://www.game-debate.com/hardware/index.php?gid=1117&graphics=Radeon%20HD%207970%20GHz%20Vapor-X%203GB	AMD	12		128	500 Watt	32		141	3072	9	http://gpu.userbenchmark.com/AMD-HD-7970/Rating/2163	1000	Radeon HD 7970 GHz Vapor-X 3GB	35	288	5	HD 7970	None 	GPU-Config	GCN 1.0 Tahiti XT2 	47.6	1500	4.4	384	GDDR5	11	http://www.game-debate.com/games/index.php?g_id=7982&game=Dying%20Light	Horror	11	8	Core i5-2500 3.3GHz	Jan-30-2015	FX-8320	Jan-30-2015	Jan-27-2015	Radeon HD 6870	GeForce GTX 560	Dying Light	1	FX-8350	Win 7 64	Core i5-4670K 3.4GHz	Radeon R9 290	4	GeForce GTX 780	Game-Info	Win 8 64	3	Action	RPG	1080	1920	7982-91	Ultra	55	8	
